-3.70,-13.51
-3.54,-13.49
-3.53,-13.49
-3.36,-13.47
-3.35,-13.47
-3.34,-13.47
-3.19,-13.46
-3.04,-13.45
-2.88,-13.43
-2.87,-13.43
-2.86,-13.42
-2.70,-13.41
-2.54,-13.38
-2.54,-13.38
-2.53,-13.38
-2.52,-13.38
-2.51,-13.38
-2.37,-13.37
-2.23,-13.34
-2.22,-13.34
-2.21,-13.34
-2.21,-13.34
-2.20,-13.33
-2.19,-13.33
-2.18,-13.33
-2.18,-13.33
-2.17,-13.33
-2.16,-13.33
-2.00,-13.34
-2.00,-13.34
-1.87,-13.35
-1.74,-13.33
-1.58,-13.29
-1.58,-13.29
-1.43,-13.26
-1.43,-13.26
-1.24,-13.21
-1.24,-13.21
-1.23,-13.21
-1.22,-13.21
-1.11,-13.19
-1.01,-13.14
-1.01,-13.14
-1.00,-13.14
-0.99,-13.13
-0.99,-13.13
-0.98,-13.13
-0.97,-13.12
-0.82,-13.07
-0.82,-13.07
-0.81,-13.07
-0.80,-13.07
-0.79,-13.06
-0.64,-13.03
-0.63,-13.03
-0.62,-13.03
-0.61,-13.02
-0.61,-13.02
-0.44,-13.01
-0.43,-13.00
-0.42,-13.00
-0.42,-13.00
-0.41,-13.00
-0.40,-13.00
-0.27,-13.01
-0.14,-12.98
-0.14,-12.98
-0.13,-12.98
0.05,-12.94
0.06,-12.94
0.18,-12.92
0.27,-12.87
0.27,-12.87
0.28,-12.86
0.29,-12.86
0.29,-12.86
0.30,-12.85
0.31,-12.85
0.31,-12.85
0.32,-12.85
0.47,-12.80
0.48,-12.79
0.49,-12.79
0.49,-12.79
0.65,-12.75
0.66,-12.75
0.67,-12.75
0.67,-12.75
0.68,-12.75
0.69,-12.75
0.69,-12.75
0.72,-12.74
0.72,-12.72
0.69,-12.56
0.69,-12.55
0.69,-12.54
0.69,-12.54
0.68,-12.53
0.67,-12.37
0.65,-12.21
0.62,-12.07
0.58,-11.91
0.54,-11.75
0.49,-11.59
0.49,-11.58
0.49,-11.57
0.45,-11.41
0.41,-11.26
0.41,-11.25
0.37,-11.11
0.32,-10.98
0.32,-10.97
0.32,-10.97
0.27,-10.81
0.22,-10.67
0.22,-10.67
0.22,-10.66
0.21,-10.65
0.17,-10.50
0.13,-10.36
0.06,-10.22
0.06,-10.21
0.05,-10.21
0.05,-10.20
-0.00,-10.06
-0.01,-10.05
-0.01,-10.04
-0.01,-10.04
-0.01,-10.03
-0.01,-10.02
-0.02,-10.02
-0.02,-10.01
-0.04,-9.85
-0.04,-9.85
-0.06,-9.68
-0.09,-9.55
-0.13,-9.42
-0.13,-9.42
-0.18,-9.27
-0.18,-9.26
-0.18,-9.25
-0.19,-9.25
-0.23,-9.08
-0.23,-9.08
-0.26,-8.93
-0.31,-8.80
-0.37,-8.67
-0.37,-8.66
-0.37,-8.65
-0.38,-8.65
-0.38,-8.64
-0.38,-8.63
-0.38,-8.63
-0.38,-8.62
-0.43,-8.45
-0.43,-8.44
-0.43,-8.44
-0.43,-8.43
-0.44,-8.35
-0.52,-8.36
-0.53,-8.36
-0.54,-8.36
-0.54,-8.36
-0.70,-8.39
-0.71,-8.39
-0.72,-8.39
-0.72,-8.39
-0.88,-8.39
-1.00,-8.42
-1.14,-8.46
-1.14,-8.46
-1.15,-8.46
-1.31,-8.50
-1.32,-8.50
-1.33,-8.50
-1.33,-8.50
-1.48,-8.53
-1.63,-8.57
-1.63,-8.57
-1.64,-8.57
-1.81,-8.61
-1.97,-8.66
-2.16,-8.72
-2.17,-8.72
-2.17,-8.72
-2.18,-8.72
-2.19,-8.73
-2.19,-8.73
-2.20,-8.73
-2.34,-8.75
-2.47,-8.78
-2.63,-8.83
-2.64,-8.83
-2.78,-8.87
-2.94,-8.92
-2.95,-8.92
-2.95,-8.92
-3.13,-8.96
-3.26,-9.00
-3.40,-9.05
-3.41,-9.05
-3.41,-9.06
-3.42,-9.06
-3.43,-9.06
-3.60,-9.10
-3.61,-9.11
-3.61,-9.11
-3.62,-9.11
-3.63,-9.11
-3.77,-9.13
-3.89,-9.17
-3.90,-9.17
-3.90,-9.18
-3.91,-9.18
-3.92,-9.18
-3.93,-9.18
-3.93,-9.18
-4.10,-9.21
-4.10,-9.21
-4.25,-9.23
-4.37,-9.29
-4.49,-9.34
-4.47,-9.47
-4.47,-9.48
-4.45,-9.63
-4.45,-9.64
-4.45,-9.65
-4.45,-9.65
-4.45,-9.66
-4.45,-9.67
-4.45,-9.67
-4.45,-9.68
-4.45,-9.69
-4.47,-9.86
-4.48,-10.00
-4.47,-10.12
-4.44,-10.25
-4.38,-10.39
-4.38,-10.40
-4.38,-10.41
-4.34,-10.56
-4.34,-10.56
-4.33,-10.57
-4.33,-10.58
-4.30,-10.77
-4.26,-10.92
-4.21,-11.07
-4.21,-11.07
-4.21,-11.08
-4.20,-11.09
-4.20,-11.09
-4.20,-11.10
-4.20,-11.11
-4.20,-11.12
-4.18,-11.28
-4.18,-11.29
-4.17,-11.47
-4.17,-11.47
-4.16,-11.61
-4.13,-11.75
-4.10,-11.90
-4.06,-12.04
-4.06,-12.05
-4.06,-12.06
-4.06,-12.06
-4.06,-12.07
-4.06,-12.08
-4.06,-12.09
-4.06,-12.09
-4.06,-12.10
-4.06,-12.11
-4.06,-12.12
-4.07,-12.28
-4.07,-12.43
-4.05,-12.56
-4.01,-12.69
-3.96,-12.85
-3.96,-12.85
-3.91,-13.00
-3.86,-13.14
-3.80,-13.28
-3.80,-13.28
-3.80,-13.29
-3.80,-13.30
-3.80,-13.30
-3.79,-13.31
-3.75,-13.46
-3.75,-13.47
-3.75,-13.48
-3.74,-13.51
