Id,Time[ns],0:UART: RX/TX
1,10000200.00,[00]
2,10012100.00,[00]
3,10034600.00,[00]
4,10045500.00,[80]
5,10058900.00,[02]
6,10069900.00,[00]
7,10081200.00,[15]
8,10092100.00,[88]
9,10102800.00,[00]
10,10113700.00,[02]
11,10124300.00,[12]
12,10136200.00,!
13,10147100.00,!
14,10158000.00,[11]
15,10168900.00,%
16,10179800.00,#
17,10190700.00,1
18,10201700.00,[83]
19,10212300.00,S
20,10223500.00,[1B]
21,10234400.00,[15]
22,10245300.00,[19]
23,10256300.00,[13]
24,10267200.00,5
25,10278100.00,3
26,10289000.00,[83]
27,10299900.00,s
28,10310800.00,-
29,10321800.00,[1B]
30,10332700.00,%
31,10343600.00,[11]
32,10354500.00,[0D]
33,10365400.00,[1B]
34,10376400.00,5
35,10387300.00,[E5]
36,10401500.00,[8D]
37,10412400.00,[AC]
38,10428800.00,M
39,10439700.00,[B5]
40,10450600.00,[E5]
41,10463700.00,5
42,10474600.00,[8B]
43,10485500.00,[83]
44,10496400.00,[87]
45,10507400.00,[1B]
46,10518300.00,c
47,10529200.00,[8D]
48,10540100.00,[8B]
49,10551000.00,[83]
50,10561900.00,[13]
51,10572900.00,[8D]
52,10583800.00,[A3]
53,10594700.00,[93]
54,10605600.00,[A7]
55,10616500.00,[1B]
56,10627500.00,5
57,10638400.00,#
58,10649300.00,5
59,10660200.00,[0D]
60,10671100.00,[19]
61,10682100.00,5
62,10693000.00,[AD]
63,10703900.00,[8B]
64,10714800.00,c
65,10725700.00,[
66,10736600.00,[A5]
67,10747500.00,[
68,10758500.00,a
69,10769400.00,e
70,10780300.00,[A5]
71,10791200.00,[
72,10802100.00,5
73,10813100.00,#
74,10824000.00,[A5]
75,10834900.00,[13]
76,10845800.00,[8D]
77,10856700.00,[A3]
78,10867600.00,[8D]
79,10878600.00,[A5]
80,10889500.00,[9D]
81,10900400.00,[93]
82,10911300.00,[8D]
83,10922200.00,[A5]
84,10933100.00,1
85,10944100.00,[0D]
86,10955000.00,[8D]
87,10965900.00,[8D]
88,10976800.00,7
89,10987700.00,[97]
90,10998700.00,3
91,11009600.00,3
92,11020500.00,[A5]
93,11031400.00,7
94,11042300.00,-
95,11053300.00,[1B]
96,11064200.00,[13]
97,11075100.00,[0D]
98,11086000.00,[E5]
99,11100200.00,[8D]
100,11111100.00,[AC]
101,11127500.00,M
102,11138400.00,[B5]
103,11149300.00,[E5]
104,11162400.00,5
105,11173300.00,[8B]
106,11184300.00,[83]
