Id,Time[ns],0:UART: RX/TX
1,928838800.00,N
2,928901600.00,O
3,928963900.00,T
4,929026100.00,I
5,929088500.00,C
6,929150500.00,E
7,929212600.00,:
8,929274900.00,[20]
9,929337200.00,[20]
10,929472100.00,f
11,929534700.00,a
12,929597400.00,s
13,929659800.00,t
14,929722600.00,_
15,929785100.00,b
16,929847700.00,o
17,929910100.00,o
18,929972800.00,t
19,930035000.00,:
20,930136100.00,0
21,930215000.00,[0D]
22,930225900.00,[0A]
23,930447400.00,[0D]
24,930458300.00,[0A]
25,930469200.00,S
26,930480200.00,[0D]
27,930491100.00,[0A]
28,930502000.00,F
29,930512900.00,[0D]
30,930523800.00,[0A]
31,930534700.00,L
32,930545700.00,[0D]
33,930556600.00,[0A]
34,930615000.00,O
35,930625900.00,[0D]
36,930636800.00,[0A]
37,930647700.00,N
38,930658600.00,O
39,930669600.00,T
40,930680500.00,I
41,930691400.00,C
42,930702300.00,E
43,930713200.00,:
44,930724100.00,[20]
45,930735100.00,[20]
46,930746000.00,e
47,930756900.00,f
48,930767800.00,u
49,930778700.00,s
50,930789700.00,e
51,930800600.00,[20]
52,930811500.00,c
53,930822400.00,p
54,930833300.00,u
55,930844200.00,_
56,930855200.00,c
57,930866100.00,f
58,930877000.00,g
59,930887900.00,[20]
60,930898800.00,=
61,930909800.00,[20]
62,930920700.00,0
63,930931600.00,[0D]
64,930942500.00,[0A]
65,930953400.00,W
66,930964300.00,[0D]
67,930975300.00,[0A]
68,930986200.00,N
69,930997100.00,O
70,931008000.00,T
71,931018900.00,I
72,931029800.00,C
73,931040800.00,E
74,931051700.00,:
75,931062600.00,[20]
76,931073500.00,[20]
77,931084400.00,B
78,931095400.00,o
79,931106300.00,o
80,931117200.00,t
81,931128100.00,i
82,931139000.00,n
83,931149900.00,g
84,931160900.00,[20]
85,931171800.00,T
86,931182700.00,r
87,931193600.00,u
88,931204500.00,s
89,931215400.00,t
90,931226400.00,e
91,931237300.00,d
92,931248200.00,[20]
93,931259100.00,F
94,931270000.00,i
95,931281000.00,r
96,931291900.00,m
97,931302800.00,w
98,931313700.00,a
99,931324600.00,r
100,931335500.00,e
101,931346500.00,[0D]
102,931357400.00,[0A]
103,931368300.00,N
104,931379200.00,O
105,931390100.00,T
106,931401000.00,I
107,931412000.00,C
108,931422900.00,E
109,931433800.00,:
110,931444700.00,[20]
111,931455600.00,[20]
112,931466600.00,B
113,931477500.00,L
114,931488400.00,1
115,931499300.00,:
116,931510200.00,[20]
117,931521100.00,v
118,931532100.00,1
119,931543000.00,.
120,931553900.00,4
121,931564800.00,(
122,931575700.00,r
123,931586600.00,e
124,931597600.00,l
125,931608500.00,e
126,931619400.00,a
127,931630300.00,s
128,931641200.00,e
129,931652200.00,)
130,931663100.00,:
131,931674000.00,H
132,931684900.00,R
133,931695800.00,-
134,931706700.00,R
135,931717700.00,O
136,931728600.00,M
137,931739500.00,-
138,931750400.00,R
139,931761300.00,e
140,931772300.00,l
141,931783200.00,-
142,931794100.00,v
143,931805000.00,1
144,931815900.00,.
145,931826800.00,1
146,931837800.00,-
147,931848700.00,1
148,931859600.00,4
149,931870500.00,1
150,931881400.00,-
151,931892300.00,g
152,931903300.00,a
153,931914200.00,9
154,931925100.00,1
155,931936000.00,d
156,931946900.00,4
157,931957900.00,d
158,931968800.00,d
159,931979700.00,-
160,931990600.00,d
161,932001500.00,i
162,932012400.00,r
163,932023400.00,t
164,932034300.00,y
165,932045200.00,[0D]
166,932056100.00,[0A]
167,932067000.00,N
168,932077900.00,O
169,932088900.00,T
170,932099800.00,I
171,932110700.00,C
172,932121600.00,E
173,932132500.00,:
174,932143500.00,[20]
175,932154400.00,[20]
176,932165300.00,B
177,932176200.00,L
178,932187100.00,1
179,932198000.00,:
180,932209000.00,[20]
181,932219900.00,B
182,932230800.00,u
183,932241700.00,i
184,932252600.00,l
185,932263500.00,t
186,932274500.00,[20]
187,932285400.00,:
188,932296300.00,[20]
189,932307200.00,1
190,932318100.00,1
191,932329100.00,:
192,932340000.00,2
193,932350900.00,4
194,932361800.00,:
195,932372700.00,4
196,932383600.00,4
197,932394600.00,,
198,932405500.00,[20]
199,932416400.00,O
200,932427300.00,c
201,932438200.00,t
202,932449100.00,[20]
203,932460100.00,2
204,932471000.00,3
205,932481900.00,[20]
206,932492800.00,2
207,932503700.00,0
208,932514700.00,1
209,932525600.00,9
210,932536500.00,[0D]
211,932547400.00,[0A]
212,932558300.00,N
213,932569200.00,O
214,932580200.00,T
215,932591100.00,I
216,932602000.00,C
217,932612900.00,E
218,932623800.00,:
219,932634700.00,[20]
220,932645700.00,[20]
221,932656600.00,W
222,932667500.00,a
223,932678400.00,i
224,932689300.00,t
225,932700300.00,i
226,932711200.00,n
227,932722100.00,g
228,932733000.00,[20]
229,932743900.00,c
230,932754800.00,o
231,932765800.00,n
232,932776700.00,n
233,932787600.00,e
234,932798500.00,c
235,932809400.00,t
236,932820400.00,[20]
237,932831300.00,.
238,932842200.00,.
239,932853100.00,.
240,932864000.00,[0D]
241,932874900.00,[0A]
242,983219500.00,N
243,983230500.00,O
244,983241400.00,T
245,983252300.00,I
246,983263200.00,C
247,983274100.00,E
248,983285000.00,:
249,983296000.00,[20]
250,983306900.00,[20]
251,983317800.00,b
252,983328700.00,o
253,983339600.00,o
254,983350600.00,t
255,983361500.00,[20]
256,983372400.00,s
257,983383300.00,r
258,983394200.00,c
259,983405100.00,:
260,983416100.00,[20]
261,983427000.00,0
262,983437900.00,[0D]
263,983448800.00,[0A]
264,1177485800.00,N
265,1177496700.00,O
266,1177507600.00,T
267,1177518500.00,I
268,1177529500.00,C
269,1177540400.00,E
270,1177551300.00,:
271,1177562200.00,[20]
272,1177573100.00,[20]
273,1177584000.00,e
274,1177595000.00,M
275,1177605900.00,M
276,1177616800.00,C
277,1177627700.00,[20]
278,1177638600.00,:
279,1177649500.00,[20]
280,1177660500.00,0
281,1177671400.00,x
282,1177682300.00,d
283,1177693200.00,6
284,1177704100.00,[0D]
285,1177715100.00,[0A]
286,1346293300.00,N
287,1346304200.00,O
288,1346315100.00,T
289,1346326100.00,I
290,1346337000.00,C
291,1346347900.00,E
292,1346358800.00,:
293,1346369700.00,[20]
294,1346380600.00,[20]
295,1346391600.00,B
296,1346402500.00,L
297,1346413400.00,1
298,1346424300.00,:
299,1346435200.00,[20]
300,1346446200.00,B
301,1346457100.00,o
302,1346468000.00,o
303,1346478900.00,t
304,1346489800.00,i
305,1346500700.00,n
306,1346511700.00,g
307,1346522600.00,[20]
308,1346533500.00,B
309,1346544400.00,L
310,1346555300.00,2
311,1346566300.00,[0D]
312,1346577200.00,[0A]
313,1382454200.00,A
314,1382465100.00,u
315,1382476000.00,t
316,1382486900.00,h
317,1382497800.00,[20]
318,1382508800.00,p
319,1382519700.00,a
320,1382530600.00,s
321,1382541500.00,s
322,1382552400.00,[0D]
323,1382563300.00,[0A]
324,1382574300.00,N
325,1382585200.00,O
326,1382596100.00,T
327,1382607000.00,I
328,1382617900.00,C
329,1382628800.00,E
330,1382639800.00,:
331,1382650700.00,[20]
332,1382661600.00,[20]
333,1382672500.00,b
334,1382683400.00,l
335,1382694400.00,1
336,1382705300.00,_
337,1382716200.00,m
338,1382727100.00,a
339,1382738000.00,i
340,1382748900.00,n
341,1382759900.00,[20]
342,1382770800.00,e
343,1382781700.00,x
344,1382792600.00,i
345,1382803500.00,t
346,1382814500.00,[0D]
347,1382825400.00,[0A]
348,1382836700.00,S
349,1382848300.00,P
350,1382859900.00,L
351,1382871500.00,[20]
352,1382883200.00,c
353,1382894900.00,o
354,1382906500.00,l
355,1382918100.00,d
356,1382929700.00,[20]
357,1382941400.00,b
358,1382953000.00,o
359,1382964700.00,o
360,1382976300.00,t
361,1382987900.00,[20]
362,1382999500.00,f
363,1383011200.00,l
364,1383022800.00,o
365,1383034400.00,w
366,1383045500.00,[0D]
367,1383056800.00,[0A]
368,1383067900.00,c
369,1383079500.00,h
370,1383091100.00,e
371,1383102700.00,c
372,1383114400.00,k
373,1383126000.00,_
374,1383137600.00,r
375,1383149200.00,e
376,1383160900.00,s
377,1383172500.00,e
378,1383184200.00,t
379,1383195800.00,_
380,1383207400.00,s
381,1383219000.00,t
382,1383230700.00,a
383,1383242300.00,t
384,1383253900.00,e
385,1383265500.00,[20]
386,1383277200.00,(
387,1383288900.00,0
388,1383299900.00,)
389,1383311600.00,:
390,1383323200.00,[20]
391,1383334800.00,w
392,1383346400.00,a
393,1383358100.00,k
394,1383369700.00,e
395,1383381400.00,u
396,1383393000.00,p
397,1383404600.00,[20]
398,1383416200.00,a
399,1383427900.00,d
400,1383439500.00,d
401,1383451100.00,r
402,1383462700.00,e
403,1383474400.00,s
404,1383486000.00,s
405,1383497700.00,[20]
406,1383509300.00,=
407,1383520900.00,[20]
408,1383532500.00,0
409,1383544200.00,x
410,1383555600.00,0
411,1383566700.00,,
412,1383578300.00,[20]
413,1383589900.00,h
