Id,Time[ns],0:UART: RX/TX
1,1632530400.00,N
2,1632593100.00,O
3,1632655400.00,T
4,1632717700.00,I
5,1632780000.00,C
6,1632842100.00,E
7,1632904100.00,:
8,1632966400.00,[20]
9,1633028700.00,[20]
10,1633163700.00,f
11,1633226200.00,a
12,1633288900.00,s
13,1633351400.00,t
14,1633414100.00,_
15,1633476600.00,b
16,1633539400.00,o
17,1633601600.00,o
18,1633664300.00,t
19,1633726600.00,:
20,1633827700.00,0
21,1633906600.00,[0D]
22,1633917500.00,[0A]
23,1634138700.00,[0D]
24,1634149600.00,[0A]
25,1634160600.00,S
26,1634171500.00,[0D]
27,1634182400.00,[0A]
28,1634193300.00,F
29,1634204200.00,[0D]
30,1634215200.00,[0A]
31,1634226100.00,L
32,1634237000.00,[0D]
33,1634247900.00,[0A]
34,1634306400.00,O
35,1634317300.00,[0D]
36,1634328300.00,[0A]
37,1634339200.00,N
38,1634350100.00,O
39,1634361000.00,T
40,1634371900.00,I
41,1634382900.00,C
42,1634393800.00,E
43,1634404700.00,:
44,1634415600.00,[20]
45,1634426500.00,[20]
46,1634437400.00,e
47,1634448400.00,f
48,1634459300.00,u
49,1634470200.00,s
50,1634481100.00,e
51,1634492000.00,[20]
52,1634502900.00,c
53,1634513900.00,p
54,1634524800.00,u
55,1634535700.00,_
56,1634546600.00,c
57,1634557500.00,f
58,1634568500.00,g
59,1634579400.00,[20]
60,1634590300.00,=
61,1634601200.00,[20]
62,1634612100.00,0
63,1634623000.00,[0D]
64,1634634000.00,[0A]
65,1634644900.00,W
66,1634655800.00,[0D]
67,1634666700.00,[0A]
68,1634677600.00,N
69,1634688600.00,O
70,1634699500.00,T
71,1634710400.00,I
72,1634721300.00,C
73,1634732200.00,E
74,1634743100.00,:
75,1634754100.00,[20]
76,1634765000.00,[20]
77,1634775900.00,B
78,1634786800.00,o
79,1634797700.00,o
80,1634808600.00,t
81,1634819600.00,i
82,1634830500.00,n
83,1634841400.00,g
84,1634852300.00,[20]
85,1634863200.00,T
86,1634874200.00,r
87,1634885100.00,u
88,1634896000.00,s
89,1634906900.00,t
90,1634917800.00,e
91,1634928700.00,d
92,1634939700.00,[20]
93,1634950600.00,F
94,1634961500.00,i
95,1634972400.00,r
96,1634983300.00,m
97,1634994200.00,w
98,1635005200.00,a
99,1635016100.00,r
100,1635027000.00,e
101,1635037900.00,[0D]
102,1635048800.00,[0A]
103,1635059800.00,N
104,1635070700.00,O
105,1635081600.00,T
106,1635092500.00,I
107,1635103400.00,C
108,1635114300.00,E
109,1635125300.00,:
110,1635136200.00,[20]
111,1635147100.00,[20]
112,1635158000.00,B
113,1635168900.00,L
114,1635179800.00,1
115,1635190800.00,:
116,1635201700.00,[20]
117,1635212600.00,v
118,1635223500.00,1
119,1635234400.00,.
120,1635245400.00,4
121,1635256300.00,(
122,1635267200.00,r
123,1635278100.00,e
124,1635289000.00,l
125,1635299900.00,e
126,1635310900.00,a
127,1635321800.00,s
128,1635332700.00,e
129,1635343600.00,)
130,1635354500.00,:
131,1635365400.00,H
132,1635376400.00,R
133,1635387300.00,-
134,1635398200.00,R
135,1635409100.00,O
136,1635420000.00,M
137,1635431000.00,-
138,1635441900.00,R
139,1635452800.00,e
140,1635463700.00,l
141,1635474600.00,-
142,1635485500.00,v
143,1635496500.00,1
144,1635507400.00,.
145,1635518300.00,1
146,1635529200.00,-
147,1635540100.00,1
148,1635551000.00,4
149,1635562000.00,1
150,1635572900.00,-
151,1635583800.00,g
152,1635594700.00,a
153,1635605600.00,9
154,1635616600.00,1
155,1635627500.00,d
156,1635638400.00,4
157,1635649300.00,d
158,1635660200.00,d
159,1635671100.00,-
160,1635682100.00,d
161,1635693000.00,i
162,1635703900.00,r
163,1635714800.00,t
164,1635725700.00,y
165,1635736700.00,[0D]
166,1635747600.00,[0A]
167,1635758500.00,N
168,1635769400.00,O
169,1635780300.00,T
170,1635791200.00,I
171,1635802200.00,C
172,1635813100.00,E
173,1635824000.00,:
174,1635834900.00,[20]
175,1635845800.00,[20]
176,1635856700.00,B
177,1635867700.00,L
178,1635878600.00,1
179,1635889500.00,:
180,1635900400.00,[20]
181,1635911300.00,B
182,1635922300.00,u
183,1635933200.00,i
184,1635944100.00,l
185,1635955000.00,t
186,1635965900.00,[20]
187,1635976800.00,:
188,1635987800.00,[20]
189,1635998700.00,1
190,1636009600.00,1
191,1636020500.00,:
192,1636031400.00,2
193,1636042300.00,4
194,1636053300.00,:
195,1636064200.00,4
196,1636075100.00,4
197,1636086000.00,,
198,1636096900.00,[20]
199,1636107900.00,O
200,1636118800.00,c
201,1636129700.00,t
202,1636140600.00,[20]
203,1636151500.00,2
204,1636162400.00,3
205,1636173400.00,[20]
206,1636184300.00,2
207,1636195200.00,0
208,1636206100.00,1
209,1636217000.00,9
210,1636227900.00,[0D]
211,1636238900.00,[0A]
212,1636249800.00,N
213,1636260700.00,O
214,1636271600.00,T
215,1636282500.00,I
216,1636293500.00,C
217,1636304400.00,E
218,1636315300.00,:
219,1636326200.00,[20]
220,1636337100.00,[20]
221,1636348000.00,W
222,1636359000.00,a
223,1636369900.00,i
224,1636380800.00,t
225,1636391700.00,i
226,1636402600.00,n
227,1636413500.00,g
228,1636424500.00,[20]
229,1636435400.00,c
230,1636446300.00,o
231,1636457200.00,n
232,1636468100.00,n
233,1636479100.00,e
234,1636490000.00,c
235,1636500900.00,t
236,1636511800.00,[20]
237,1636522700.00,.
238,1636533600.00,.
239,1636544600.00,.
240,1636555500.00,[0D]
241,1636566400.00,[0A]
242,1686910500.00,N
243,1686921400.00,O
244,1686932300.00,T
245,1686943200.00,I
246,1686954200.00,C
247,1686965100.00,E
248,1686976000.00,:
249,1686986900.00,[20]
250,1686997800.00,[20]
251,1687008800.00,b
252,1687019700.00,o
253,1687030600.00,o
254,1687041500.00,t
255,1687052400.00,[20]
256,1687063300.00,s
