-9.24,31.66
-9.23,31.85
-9.22,32.01
-9.19,32.22
-9.17,32.39
-9.21,32.54
-9.24,32.70
-9.28,32.86
-9.28,33.03
-9.23,33.23
-9.18,33.39
-9.12,33.54
-9.06,33.70
-9.00,33.86
-8.94,34.01
-8.83,34.17
-8.73,34.33
-8.66,34.47
-8.59,34.63
-8.51,34.80
-8.44,34.93
-8.37,35.07
-8.32,35.22
-8.29,35.38
-8.23,35.52
-8.19,35.70
-8.17,35.88
-8.19,36.03
-8.18,36.19
-8.09,36.33
-8.03,36.49
-7.96,36.66
-7.88,36.83
-7.78,37.02
-7.72,37.18
-7.63,37.30
-7.57,37.46
-7.49,37.59
-7.41,37.73
-7.35,37.88
-7.26,38.04
-7.17,38.19
-7.09,38.36
-6.94,38.49
-6.86,38.64
-6.79,38.79
-6.72,38.97
-6.65,39.12
-6.60,39.26
-6.53,39.43
-6.47,39.59
-6.40,39.73
-6.34,39.91
-6.28,40.07
-6.21,40.23
-6.16,40.37
-6.12,40.53
-6.08,40.69
-6.03,40.85
-5.97,40.99
-5.92,41.17
-5.86,41.31
-5.81,41.48
-5.79,41.65
-5.74,41.83
-5.68,42.02
-5.62,42.19
-5.58,42.37
-5.51,42.53
-5.44,42.67
-5.38,42.84
-5.29,42.99
-5.18,43.11
-5.13,43.27
-5.02,43.39
-4.92,43.52
-4.81,43.65
-4.67,43.78
-4.54,43.88
-4.42,43.98
-4.29,44.10
-4.18,44.22
-4.07,44.34
-3.96,44.51
-3.82,44.62
-3.67,44.77
-3.54,44.87
-3.38,44.95
-3.26,45.09
-3.11,45.17
-2.95,45.25
-2.79,45.29
-2.64,45.38
-2.48,45.49
-2.34,45.58
-2.22,45.71
-2.13,45.83
-2.05,45.98
-1.99,46.13
-1.91,46.29
-1.88,46.47
-1.89,46.63
-1.92,46.78
-1.95,46.97
-2.00,47.12
-2.04,47.28
-2.10,47.43
-2.18,47.59
