-2.18,47.29
-2.06,47.39
-1.93,47.49
-1.81,47.60
-1.68,47.69
-1.59,47.81
-1.55,47.98
-1.51,48.14
-1.45,48.28
-1.37,48.42
-1.24,48.51
-1.10,48.60
-0.93,48.65
-0.78,48.72
-0.62,48.77
-0.48,48.85
-0.33,48.90
-0.16,48.99
-0.02,49.06
0.13,49.12
0.27,49.21
0.42,49.26
0.58,49.30
0.73,49.33
0.90,49.40
1.05,49.45
1.21,49.49
1.36,49.51
1.54,49.57
1.69,49.59
1.86,49.60
2.04,49.61
2.21,49.59
2.37,49.58
2.52,49.58
2.70,49.55
2.87,49.54
3.04,49.53
3.21,49.52
3.37,49.48
3.53,49.43
3.71,49.39
3.87,49.34
4.04,49.30
4.22,49.26
4.38,49.22
4.56,49.22
4.73,49.19
4.89,49.18
5.04,49.19
5.21,49.18
5.38,49.20
5.55,49.21
5.73,49.25
5.91,49.26
6.07,49.26
6.24,49.28
6.42,49.30
6.59,49.31
6.75,49.33
6.90,49.37
7.06,49.43
7.21,49.49
7.37,49.56
7.52,49.63
7.69,49.70
7.84,49.74
7.99,49.77
8.15,49.80
8.31,49.86
8.46,49.93
8.63,50.01
8.77,50.08
8.93,50.16
9.09,50.20
9.26,50.23
9.43,50.27
9.58,50.32
9.75,50.34
9.92,50.37
10.08,50.42
10.24,50.46
10.40,50.50
10.56,50.54
10.73,50.56
10.89,50.59
11.06,50.60
11.23,50.59
11.39,50.61
11.55,50.60
11.71,50.63
11.87,50.69
11.79,50.83
11.71,50.98
11.63,51.14
11.56,51.28
11.54,51.44
11.55,51.59
11.60,51.77
11.64,51.92
11.66,52.08
11.67,52.26
11.68,52.45
11.69,52.62
11.70,52.79
11.70,52.95
11.67,53.10
11.63,53.27
11.60,53.42
11.57,53.57
11.51,53.71
11.42,53.84
11.30,53.95
11.15,54.02
11.01,54.07
10.86,54.13
10.71,54.18
10.55,54.23
10.39,54.27
10.23,54.30
10.07,54.34
9.92,54.38
9.76,54.43
9.60,54.48
9.44,54.54
9.28,54.60
9.12,54.69
8.97,54.77
8.81,54.87
8.66,54.94
8.51,55.01
8.34,55.07
8.19,55.11
8.04,55.16
7.89,55.21
7.74,55.27
7.59,55.32
7.43,55.38
7.27,55.43
7.12,55.49
6.96,55.56
6.81,55.62
6.66,55.70
6.52,55.77
6.38,55.85
6.23,55.93
6.09,56.01
5.93,56.09
5.78,56.16
5.61,56.22
5.47,56.25
5.32,56.30
5.16,56.32
5.01,56.34
4.85,56.38
4.70,56.43
4.57,56.50
4.43,56.59
4.29,56.68
4.15,56.76
4.01,56.86
3.86,56.94
3.72,57.00
3.57,57.01
3.43,56.94
3.36,56.81
3.25,56.67
3.20,56.51
3.16,56.35
3.13,56.20
3.04,56.04
2.92,55.92
2.79,55.82
2.65,55.76
2.50,55.74
2.33,55.76
2.17,55.80
2.02,55.83
1.85,55.86
1.70,55.88
1.53,55.87
1.38,55.81
1.22,55.74
1.07,55.68
0.92,55.63
0.76,55.58
0.60,55.56
0.43,55.57
0.27,55.61
0.12,55.67
-0.03,55.73
-0.18,55.75
-0.33,55.70
-0.41,55.56
-0.47,55.42
-0.50,55.26
-0.51,55.11
-0.50,54.93
-0.52,54.78
-0.55,54.61
-0.57,54.46
-0.60,54.30
-0.64,54.14
-0.70,54.00
-0.77,53.86
-0.84,53.71
-0.93,53.56
-1.02,53.40
-1.08,53.23
-1.19,53.10
-1.31,52.98
-1.40,52.85
-1.51,52.73
-1.59,52.58
-1.66,52.44
-1.68,52.27
-1.78,52.13
-1.79,51.96
-1.79,51.79
-1.80,51.62
-1.78,51.45
-1.74,51.29
-1.72,51.13
-1.74,50.97
-1.78,50.80
-1.85,50.65
-1.93,50.52
-2.03,50.36
-2.13,50.22
-2.22,50.09
-2.30,49.95
-2.37,49.81
-2.42,49.67
-2.47,49.51
-2.56,49.37
-2.61,49.22
-2.64,49.06
-2.66,48.90
-2.65,48.73
-2.65,48.57
-2.63,48.41
-2.63,48.26
-2.64,48.09
-2.70,47.95
-2.78,47.79
-2.87,47.66
-2.95,47.54
-3.04,47.39
-3.07,47.22
-3.05,47.05
-2.99,46.91
-2.89,47.02
-2.73,47.10
-2.60,47.18
-2.47,47.26
-2.32,47.33
-2.18,47.39
-2.01,47.46
-1.87,47.54
